Authors,Titles,Profiles,Publications,Year of Publication
"Kneafsey, R.,Lycett, D.",Let down by Low Expectations: A Qualitative Interview/participatory Photography Study of Feeding Problems in Autistic Children,"https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett",https://pureportal.coventry.ac.uk/en/publications/let-down-by-low-expectations-a-qualitative-interviewparticipatory,21 Mar 2022
"West, S.",LGBT+ Domestic Abuse Service Provision Mapping Study,https://pureportal.coventry.ac.uk/en/persons/sarah-west,https://pureportal.coventry.ac.uk/en/publications/lgbt-domestic-abuse-service-provision-mapping-study,22 Feb 2022
,Lifestyle factors and fetal and childhood origins of type 2 diabetes: A prospective study of Chinese and European adults,,https://pureportal.coventry.ac.uk/en/publications/lifestyle-factors-and-fetal-and-childhood-origins-of-type-2-diabe,Mar 2022
"Clark, C.","Longitudinal association of movement behaviour and motor competence in childhood: A structural equation model, compositional, and isotemporal substitution analysis",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/longitudinal-association-of-movement-behaviour-and-motor-competen,Aug 2022
"Wang, J.",M3Care: Learning with Missing Modalities in Multimodal Healthcare Data,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/m3care-learning-with-missing-modalities-in-multimodal-healthcare-,14 Aug 2022
"Saeed, U.,Shah, S. A.",Machine learning empowered COVID-19 patient monitoring using non-contact sensing: An extensive review,"https://pureportal.coventry.ac.uk/en/persons/umer-saeed,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah",https://pureportal.coventry.ac.uk/en/publications/machine-learning-empowered-covid-19-patient-monitoring-using-non-,Apr 2022
"Abbott, S.",Managing idiopathic intracranial hypertension in pregnancy: practical advice,https://pureportal.coventry.ac.uk/en/persons/sally-abbott,https://pureportal.coventry.ac.uk/en/publications/managing-idiopathic-intracranial-hypertension-in-pregnancy-practi,21 Apr 2022
"Lutman-White, E.",Marginal voices: Exploring presence and participation in interaction in child protection conferences,https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white,https://pureportal.coventry.ac.uk/en/publications/marginal-voices-exploring-presence-and-participation-in-interacti,May 2022
"Wang, J.",MARVAir: Meteorology Augmented Residual-based Visual Approach for Crowdsourcing Air Quality Inference,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/marvair-meteorology-augmented-residual-based-visual-approach-for-,2022
"Clark, C. C. T.",Mediatory Effect of Inflammatory Markers (IL-1β and PAI-1) on Association of Dietary Total Antioxidant Capacity and Body Composition in Overweight and Obese Women: A Cross-Sectional Study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/mediatory-effect-of-inflammatory-markers-il-1%CE%B2-and-pai-1-on-assoc,23 May 2022
"Clark, C. C. T.",Medicinal plant compounds as promising inhibitors of coronavirus (COVID-19) main protease: an in silico study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/medicinal-plant-compounds-as-promising-inhibitors-of-coronavirus-,22 Nov 2022
"Kurmi, O.",Medicines prescribing for homeless persons: analysis of prescription data from specialist homelessness general practices,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/medicines-prescribing-for-homeless-persons-analysis-of-prescripti,Jun 2022
"Clark, C. C. T.","Modified Mediterranean diet vs. Traditional Iranian diet: Efficacy of dietary interventions on dietary inflammatory index score, fatigue severity and disability in multiple sclerosis patients",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/modified-mediterranean-diet-vs-traditional-iranian-diet-efficacy-,14 Oct 2022
"Saeed, U.,Shah, S. A.",Monitoring Discrete Activities of Daily Living of Young & Older Adults using 5.8 GHz Frequency Modulated Continuous Wave Radar and ResNet Algorithm,"https://pureportal.coventry.ac.uk/en/persons/umer-saeed,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah",https://pureportal.coventry.ac.uk/en/publications/monitoring-discrete-activities-of-daily-living-of-young-amp-older,2022
"Duncan, M.,Clark, C.",Motor Competence Among Children in the United Kingdom and Ireland: An Expert Statement on Behalf of the International Motor Development Research Consortium,"https://pureportal.coventry.ac.uk/en/persons/michael-duncan,https://pureportal.coventry.ac.uk/en/persons/cain-clark",https://pureportal.coventry.ac.uk/en/publications/motor-competence-among-children-in-the-united-kingdom-and-ireland,1 Apr 2022
"Clark, C. C. T.,Duncan, M. J.",Movement behaviors in short versus adequate nocturnal sleepers: A compositional analysis of preschoolers,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/movement-behaviors-in-short-versus-adequate-nocturnal-sleepers-a-,May 2022
"O'Doherty, L.,Carter, G.,Lutman-White, E.","Multi-disciplinary Evaluation of Sexual Assault Referral Centres (SARCs) for better Health (MESARCH): protocol for a 1-year cohort study examining health, well-being and cost outcomes in adult survivors of sexual assault attending SARCs in England","https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/persons/grace-carter,https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white",https://pureportal.coventry.ac.uk/en/publications/multi-disciplinary-evaluation-of-sexual-assault-referral-centres-,24 May 2022
"Saeed, U.,Shah, S. A.,Liu, H.",Multiple Participants’ Discrete Activity Recognition in a Well-Controlled Environment Using Universal Software Radio Peripheral Wireless Sensing,"https://pureportal.coventry.ac.uk/en/persons/umer-saeed,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu",https://pureportal.coventry.ac.uk/en/publications/multiple-participants-discrete-activity-recognition-in-a-well-con,21 Jan 2022
"Lutman-White, E.",Negotiating ideologies and the moral order in child protection social work,https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white,https://pureportal.coventry.ac.uk/en/publications/negotiating-ideologies-and-the-moral-order-in-child-protection-so,Jun 2022
"Liu, H.,Zheng, D.",Neural Entrainment to Rhythms of Imagined Syllables,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/neural-entrainment-to-rhythms-of-imagined-syllables,8 Sep 2022
"Shah, S. A.",Novel Privacy Preserving Non-Invasive Sensing-Based Diagnoses of Pneumonia Disease Leveraging Deep Network Model,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/novel-privacy-preserving-non-invasive-sensing-based-diagnoses-of-,8 Jan 2022
"Allen, J.",Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n,24 Oct 2022
"Whelan, M.,Lycett, D.",Nurse-led mental and physical healthcare for the homeless community: A qualitative evaluation,"https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett",https://pureportal.coventry.ac.uk/en/publications/nurse-led-mental-and-physical-healthcare-for-the-homeless-communi,9 Mar 2022
"Jones, S.",Nutritional interventions in older people with COVID-19: an overview of the evidence,https://pureportal.coventry.ac.uk/en/persons/stacey-jones,https://pureportal.coventry.ac.uk/en/publications/nutritional-interventions-in-older-people-with-covid-19-an-overvi,1 Feb 2022
"Clark, C. C. T.,Duncan, M.",O8-1 24-Hour Movement Behavior and Fundamental Movement Skills in Pre-School Children: A Compositional Analysis,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/o8-1-24-hour-movement-behavior-and-fundamental-movement-skills-in,27 Aug 2022
"Clark, C.",Obesity Paradox: Does It Lengthen Survival in Iranian COVID Patients?,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/obesity-paradox-does-it-lengthen-survival-in-iranian-covid-patien,1 Jul 2022
"Tramontano, C.,Wright, H.",Older Individuals Convicted of Sexual Offenses: A Literature Review,"https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,https://pureportal.coventry.ac.uk/en/persons/hayley-wright",https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie,Apr 2022
"Clark, C. C. T.",Optimizing Motor Learning: Difficulty Manipulation Combined with Feedback- Frequency Enhance Under-Time-Pressure Fine-Motor-Coordination Skill Acquisition and Retention,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/optimizing-motor-learning-difficulty-manipulation-combined-with-f,2022
"Pearce, G.",Parents' Experiences of Children's Healthcare for Hypermobile Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorders,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce,https://pureportal.coventry.ac.uk/en/publications/parents-experiences-of-childrens-healthcare-for-hypermobile-ehler,2 Jan 2022
"Clark, C. C. T.",Partial sleep restriction impairs static postural control in elite judo athletes,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/partial-sleep-restriction-impairs-static-postural-control-in-elit,3 Apr 2022
"Bul, K.",Perceived Support from Best Friends and Depressive Symptoms during Adolescence: Disentangling Individual from Dyadic Level Effects,https://pureportal.coventry.ac.uk/en/persons/kim-bul,https://pureportal.coventry.ac.uk/en/publications/perceived-support-from-best-friends-and-depressive-symptoms-durin,11 Nov 2022
"Kurmi, O. P.",Performance assessment of an improved gasifier stove using biomass pellets: An experimental and numerical investigation,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/performance-assessment-of-an-improved-gasifier-stove-using-biomas,Oct 2022
"Shah, S. A.","Personalized wearable electrodermal sensing-based human skin hydration level detection for sports, health and wellbeing",https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/personalized-wearable-electrodermal-sensing-based-human-skin-hydr,8 Mar 2022
"Liu, H.",Photoplethysmography temporal marker-based machine learning classifier for anesthesia drug detection,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-temporal-marker-based-machine-learning-class,Nov 2022
"Clark, C.","Physical exercise, Sedentary Behaviour, Sleep and Depression Symptoms in Chinese Young Adults During the COVID-19 Pandemic: A Compositional Isotemporal Analysis",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/physical-exercise-sedentary-behaviour-sleep-and-depression-sympto,27 Jul 2022
"Liu, H.",Potential risk factors of persistent postural-perceptual dizziness: a pilot study,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/publications/potential-risk-factors-of-persistent-postural-perceptual-dizzines,Jun 2022
"Wang, J.",PresSafe: Barometer-based On-screen Pressure Assisted Implicit Authentication for Smartphones,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/pressafe-barometer-based-on-screen-pressure-assisted-implicit-aut,17 Aug 2022
"Clark, C. C. T.",Probiotics supplementation and brain-derived neurotrophic factor (BDNF): a systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/probiotics-supplementation-and-brain-derived-neurotrophic-factor-,22 Aug 2022
"Allen, J.",Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/prospective-assessment-of-the-diagnostic-accuracy-of-multi-site-p,18 Aug 2022
"McGregor, G.,Holliday, N.,Pearce, G.,Powell, R.",Protocol update for a randomised controlled feasibility trial of exercise rehabilitation for people with postural tachycardia syndrome: the PULSE study,"https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce,https://pureportal.coventry.ac.uk/en/persons/richard-james-powell",https://pureportal.coventry.ac.uk/en/publications/protocol-update-for-a-randomised-controlled-feasibility-trial-of-,7 May 2022
"Clark, C. C. T.",Ramadan observance is associated with higher fatigue and lower vigor in athletes: a systematic review and meta-analysis with meta-regression,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/ramadan-observance-is-associated-with-higher-fatigue-and-lower-vi,24 Aug 2022
